,beta,gamma,size,file_name
6,6.5,0.5,897780,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,6.5,0.6,941414,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,6.5,0.7000000000000001,644736,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,6.5,0.8,439252,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,6.5,0.9,175016,phase/N_400_Nit_24999_a_0.5_b_6.5_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,6.5,1.0,170607,phase/N_400_Nit_24999_a_0.5_b_6.5_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,7.6,0.05,170935,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,7.6,0.1,180111,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,7.6,0.2,191499,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,7.6,0.30000000000000004,206642,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,7.6,0.4,188408,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,7.6,0.5,195856,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,7.6,0.6,182900,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,7.6,0.7000000000000001,170877,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,7.6,0.8,143934,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,7.6,0.9,195549,phase/N_400_Nit_24999_a_0.5_b_7.6_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,7.6,1.0,166111,phase/N_400_Nit_24999_a_0.5_b_7.6_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,8.7,0.05,513222,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,8.7,0.1,637669,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,8.7,0.2,937927,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,8.7,0.30000000000000004,944910,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,8.7,0.4,943170,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,8.7,0.5,838980,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,8.7,0.6,901380,phase/N_400_Nit_24999_a_0.5_b_8.7_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
