,beta,gamma,size,file_name
15,5.5,0.30000000000000004,159242,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,5.5,0.4,156337,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,5.5,0.5,150270,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,5.5,0.6,173703,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,5.5,0.7000000000000001,175060,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,5.5,0.8,152984,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,5.5,0.9,156800,phase/N_400_Nit_25000_a_0.5_b_5.5_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,5.5,1.0,137921,phase/N_400_Nit_25000_a_0.5_b_5.5_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,6.5,0.05,312265,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,6.5,0.1,344755,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,6.5,0.2,605583,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,6.5,0.30000000000000004,698675,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,6.5,0.4,789845,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,6.5,0.5,805744,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,6.5,0.6,787117,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,6.5,0.7000000000000001,618786,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,6.5,0.8,158813,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,6.5,0.9,141121,phase/N_400_Nit_25000_a_0.5_b_6.5_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,6.5,1.0,152818,phase/N_400_Nit_25000_a_0.5_b_6.5_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,7.6,0.05,162972,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,7.6,0.1,155350,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,7.6,0.2,167445,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,7.6,0.30000000000000004,200243,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,7.6,0.4,197679,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,7.6,0.5,171381,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,7.6,0.6,137337,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,7.6,0.7000000000000001,157380,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,7.6,0.8,138139,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,7.6,0.9,137802,phase/N_400_Nit_25000_a_0.5_b_7.6_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,7.6,1.0,137862,phase/N_400_Nit_25000_a_0.5_b_7.6_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,8.7,0.05,375611,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,8.7,0.1,265863,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,8.7,0.2,369021,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,8.7,0.30000000000000004,693559,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,8.7,0.4,770156,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,8.7,0.5,826716,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,8.7,0.6,834074,phase/N_400_Nit_25000_a_0.5_b_8.7_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
